DATA;Dia;Forecast;Real
01/05/2022;dom;44;36
02/05/2022;seg;98;40
03/05/2022;ter;68;53
04/05/2022;qua;77;44
05/05/2022;qui;65;38
06/05/2022;sex;83;50
07/05/2022;sáb;65;49
08/05/2022;dom;44;25
09/05/2022;seg;98;56
10/05/2022;ter;68;53
11/05/2022;qua;77;44
12/05/2022;qui;65;38
13/05/2022;sex;83;50
14/05/2022;sáb;65;49
15/05/2022;dom;44;36
16/05/2022;seg;98;40
17/05/2022;ter;68;55
18/05/2022;qua;77;47
19/05/2022;qui;65;41
20/05/2022;sex;83;40
21/05/2022;sáb;65;51
22/05/2022;dom;44;44
23/05/2022;seg;98;62
24/05/2022;ter;68;43
25/05/2022;qua;77;50
26/05/2022;qui;65;38
27/05/2022;sex;83;49
28/05/2022;sáb;65;57
29/05/2022;dom;44;40
30/05/2022;seg;98;60
